test,amplitude,extremum,frequency,mean,pattern,pattern-shift,platform,trend,variance
amplitude,16,6,24,13,24,12,19,0,21
extremum,6,138,1,19,14,2,4,0,13
frequency,6,0,22,10,18,23,9,1,3
mean,6,2,16,138,6,6,8,10,8
pattern,12,1,16,13,28,19,8,2,9
pattern-shift,5,0,20,14,29,23,14,0,11
platform,9,9,29,36,17,14,81,4,7
trend,2,0,4,79,3,0,1,65,1
variance,9,7,21,103,24,15,7,6,11
