test,extremum,mean,platform
amplitude,2,1,132
extremum,67,26,104
frequency,1,1,90
mean,65,29,106
pattern,2,0,106
pattern-shift,2,1,113
platform,46,37,123
trend,52,21,82
variance,74,27,102
