,epoch,train_loss,val_loss,train_accuracy,val_accuracy
0,1,2.0416121149189816,1.9402942385052664,0.18290522586359612,0.2329495128432241
1,2,1.8702177024711224,1.8043523320484416,0.25132860938883966,0.2807794508414526
2,3,1.7297762052689747,3.0594458684549592,0.30934455270150574,0.2940655447298494
3,4,1.6572268063035869,2.5750622594113683,0.3387953941541187,0.3153232949512843
4,5,1.6005055198002116,1.6728242468897276,0.35761736049601417,0.31975199291408324
5,6,1.5753833020652048,7.4859737074406825,0.3775465013286094,0.3330380868024801
6,7,1.5139636102242213,8.29434674244417,0.40522586359610274,0.3507528786536758
7,8,1.4781688875176402,5.627004258605207,0.4078830823737821,0.354295837023915
8,9,1.4644618608763622,13.712429164678676,0.4224977856510186,0.3392382639503986
9,10,1.4363919308588926,14.473632176541141,0.43556244464127547,0.337466784765279
10,11,1.3872744815343243,18.44171316946788,0.454162976085031,0.37378210806023027
11,12,1.3852404473205917,10.234502712322401,0.4546058458813109,0.37112488928255094
12,13,1.3488758725334418,17.758143964966806,0.47785651018600533,0.37112488928255094
13,14,1.308098238585162,11.858027347428699,0.48361381753764393,0.3746678476527901
14,15,1.2796196422289703,17.64530743519958,0.495792736935341,0.3728963684676705
