,epoch,train_loss,val_loss,train_accuracy,val_accuracy
0,1,48699370.48760985,122688.36887083232,0.5321080602302923,0.5845881310894597
1,2,342287.952389152,96696.43640972156,0.5812666076173605,0.5845881310894597
2,3,312248.67964668374,175054.86798528192,0.5949955713020372,0.5907883082373782
3,4,146455.7449840226,871.1873577995253,0.5841452612931798,0.5837023914969
4,5,311293.87378088577,65263.353051211794,0.5719663418954827,0.566873339238264
5,6,142460.0114095266,718.5857087991426,0.5952170062001771,0.5969884853852967
6,7,13978.699376804834,974.9310786754711,0.599867139061116,0.6058458813108946
7,8,11426.837731881094,260.0918153976317,0.604517271922055,0.6102745792736936
8,9,120540.02503770722,352.67153620498175,0.6025243578387954,0.6120460584588131
9,10,12080.55763006865,707.8311250442102,0.6078387953941541,0.6120460584588131
10,11,107707.8658594363,30603.290143725088,0.5978742249778565,0.6014171833480957
11,12,199754.73305543786,647.460655475159,0.5994242692648362,0.6155890168290522
12,13,22726.97522492489,2620.8737836589426,0.6025243578387954,0.5978742249778565
13,14,20113.107706304774,1780.5054450305402,0.6111603188662533,0.5996457041629761
14,15,147340.847622977,10459.71554630979,0.5963241806908769,0.5943312666076174
15,16,94612.5211165,8258.131185756309,0.5941098317094774,0.6138175376439327
16,17,95205.25823298674,161874.31364961047,0.5881310894596988,0.579273693534101
17,18,221220.8374110016,13734.507988107849,0.595881310894597,0.608503100088574
