,epoch,train_loss,val_loss,train_accuracy,val_accuracy
0,1,1.142586483376759,1.0904245463697333,0.5828166519043402,0.6005314437555359
1,2,1.1000491943477635,1.1027171515700456,0.6102745792736936,0.6049601417183348
2,3,1.0739124110570726,1.069973577061409,0.6164747564216121,0.6049601417183348
3,4,1.070840068894007,1.151419913272503,0.6169176262178919,0.604074402125775
4,5,1.0593446232345487,1.0604705472664036,0.6184676705048716,0.6067316209034543
5,6,1.0494909759535,1.0657168603555833,0.620903454384411,0.6067316209034543
6,7,1.0532660473755127,1.0657605528831482,0.6220106288751107,0.6076173604960142
7,8,1.0305087414328455,1.0755493131435687,0.6222320637732507,0.6093888396811338
8,9,1.037142360125948,1.0686721405801358,0.6220106288751107,0.6076173604960142
9,10,1.0365563349136744,1.0631666934733057,0.6233392382639504,0.6093888396811338
10,11,1.030930701402355,1.068805150219146,0.62533215234721,0.6102745792736936
11,12,1.0267455192452728,1.0802801109923,0.6255535872453498,0.6093888396811338
12,13,1.030253751601024,1.079827757035873,0.62466784765279,0.6102745792736936
13,14,1.0256394780875309,1.4208878829375742,0.6255535872453498,0.5969884853852967
14,15,1.0326348679376134,1.0880213783207564,0.62511071744907,0.6138175376439327
