,epoch,train_loss,val_loss,train_accuracy,val_accuracy
0,1,11256.234755591231,278.9094499261956,0.40256864481842336,0.2524357838795394
1,2,629.7781617373255,1.7562798447478019,0.4211691762621789,0.5899025686448184
2,3,88.35118054372215,1.3013749716026366,0.5575730735163862,0.5943312666076174
3,4,35.37308373126021,1.2264437057784008,0.5746235606731621,0.5952170062001771
4,5,18.23027730642746,1.3033193874612543,0.5865810451727193,0.5899025686448184
5,6,12.664566467883208,1.132898536480244,0.587688219663419,0.5952170062001771
6,7,9.15945584759235,1.1121343587540862,0.5868024800708592,0.5952170062001771
7,8,6.967105356331311,1.0996392667029578,0.5927812223206377,0.5952170062001771
8,9,3.7692197025930914,1.0995257285129085,0.5930026572187777,0.5952170062001771
9,10,3.4059924698171624,1.108985977324899,0.5974313551815766,0.5978742249778565
10,11,3.6827598979137344,1.0953929915799834,0.5985385296722764,0.5969884853852967
11,12,2.8085270615358917,1.0803217518319062,0.5985385296722764,0.5969884853852967
12,13,1.9640922465083661,1.1063727830446748,0.6005314437555359,0.5952170062001771
13,14,2.3956229813443124,1.0828237720460783,0.5974313551815766,0.5952170062001771
14,15,3.4898925220892427,1.1011817860751156,0.5987599645704162,0.5952170062001771
15,16,3.1808988308885437,1.1036948578562538,0.5985385296722764,0.5952170062001771
16,17,3.4376110984119723,1.1034977570690867,0.599867139061116,0.5952170062001771
17,18,3.4740555670749202,1.1046602161612735,0.5996457041629761,0.5952170062001771
18,19,2.5702203998426296,1.1044783214745635,0.6007528786536758,0.5952170062001771
19,20,1.3862764218721482,1.1063717582037853,0.6007528786536758,0.5952170062001771
20,21,1.767065510483734,1.1042799470274716,0.5996457041629761,0.5952170062001771
21,22,1.3509671972112596,1.104317474460264,0.6003100088573959,0.5952170062001771
