,epoch,train_loss,val_loss,train_accuracy,val_accuracy
0,1,1.0909694957458624,1.0160624171063581,0.5945527015057573,0.5969884853852967
1,2,0.974534491082015,0.9298078309021975,0.6401682905225864,0.6687333923826395
2,3,0.8689617940131492,0.8738173151354118,0.6806908768821966,0.6784765279007972
3,4,0.7933809493789639,0.8536779638726274,0.6992914083259522,0.6793622674933569
4,5,0.7654611959829069,0.8438681980167689,0.70792736935341,0.6758193091231178
5,6,0.753785599956901,0.8207536234699381,0.7103631532329495,0.6846767050487157
6,7,0.7095696033367127,0.7830034995416923,0.7263064658990257,0.7156775907883083
7,8,0.6837815486614001,0.8293952256097954,0.729406554472985,0.6899911426040743
8,9,0.6679189273274188,0.8460123595988677,0.7367139061116031,0.6908768821966342
9,10,0.6636141638928963,0.8020433277234871,0.7371567759078831,0.6944198405668733
10,11,0.6410207748413086,0.8265007758056093,0.7393711248892826,0.691762621789194
11,12,0.6166297575348346,0.8359779122131287,0.7429140832595217,0.7032772364924712
12,13,0.5969742300554753,3.7721157788807993,0.74977856510186,0.7068201948627104
13,14,0.592648532667236,0.8228510932863233,0.7564216120460585,0.7103631532329495
14,15,0.5784312938566858,1.8197885701041818,0.7526572187776793,0.70859167404783
15,16,0.5399436541528592,3.015863969856073,0.7683790965456155,0.7103631532329495
16,17,0.5348849475014199,5.545953199386174,0.7725863596102746,0.6988485385296723
