,epoch,train_loss,val_loss,train_accuracy,val_accuracy
0,1,1.098236541129299,1.0066275845807247,0.5952170062001771,0.6164747564216121
1,2,0.9417497290247199,0.8625070089994014,0.6510186005314438,0.674933569530558
2,3,0.8434023030887566,0.8385500423247251,0.6904340124003543,0.6713906111603188
3,4,0.7974906887387258,0.8454999687188066,0.7061558901682905,0.6740478299379983
4,5,0.7563517650109249,0.7997557280124871,0.70837023914969,0.6970770593445527
5,6,0.7470607323600087,0.7808069216138604,0.7172276350752879,0.7050487156775908
6,7,0.7225545288927265,0.7890207230041679,0.7265279007971657,0.6970770593445527
7,8,0.7133270308863705,0.7612033250904168,0.7256421612046059,0.7050487156775908
8,9,0.6839034447530606,0.7851389847148088,0.7327280779450841,0.6988485385296723
9,10,0.6872013768229049,0.7368205458427342,0.7282993799822852,0.70859167404783
10,11,0.6871159097808351,0.8492417882458101,0.7269707705934455,0.6979627989371124
11,12,0.6687729058274133,0.7224253218083174,0.7389282550930026,0.7183348095659876
12,13,0.6457147342214762,0.7486346384083095,0.7422497785651019,0.7395925597874224
13,14,0.6521547438297998,0.7628511180383531,0.7380425155004429,0.7094774136403897
14,15,0.6333682110501772,0.715927408320171,0.7511071744906997,0.733392382639504
15,16,0.6208005000575652,1.7025316543448172,0.7488928255093003,0.7316209034543845
16,17,0.6197811892013617,2.7145991311123985,0.7468999114260407,0.7307351638618246
17,18,0.6141537321785893,4.480933806767392,0.7484499557130204,0.7271922054915855
18,19,0.5764882248835399,2.4784571508900903,0.7588573959255979,0.7236492471213464
19,20,0.5914375942507288,3.211507822318453,0.7575287865367581,0.7218777679362267
20,21,0.5625714609008431,7.879257138267463,0.7639503985828167,0.7147918511957484
21,22,0.5515866378855135,8.865727626876138,0.7677147918511957,0.7245349867139061
22,23,0.5459146775747422,8.238135733046924,0.7728077945084145,0.7254207263064659
23,24,0.5331270895878545,12.67437888685848,0.7759078830823738,0.7413640389725421
24,25,0.5209106564310613,15.200347802668572,0.7801151461470328,0.7369353410097431
