,epoch,train_loss,val_loss,train_accuracy,val_accuracy
0,1,45998508.80580506,88532.15791595161,0.13906111603188662,0.17183348095659876
1,2,671905.9453864557,24908.374692499583,0.1640832595217006,0.19220549158547387
2,3,352040.485133155,19474.724553745968,0.17183348095659876,0.16474756421612047
3,4,249769.8527898476,55852.82266592156,0.18534100974313553,0.1762621789193977
4,5,73180.44723990874,27993.72624928472,0.1913197519929141,0.1771479185119575
5,6,261282.4968424798,25689.53851518386,0.18556244464127547,0.1886625332152347
6,7,27332.548656293202,5522.747733233564,0.18910540301151463,0.17094774136403898
7,8,101626.36702636705,1909.2518851778168,0.1941984056687334,0.1753764393268379
8,9,137867.71967482587,2573.4570460283617,0.1871124889282551,0.18069087688219662
9,10,112563.79275542893,2278.005993403831,0.18689105403011513,0.183348095659876
10,11,34708.894418906915,2711.2631125141816,0.19176262178919398,0.1771479185119575
11,12,298466.4629300289,3772.010001745976,0.19154118689105404,0.18423383525243578
12,13,32855.48756035352,3184.1096000910015,0.19951284322409213,0.18689105403011513
13,14,15867.997383486074,2285.395889441876,0.19840566873339238,0.17803365810451727
14,15,116784.50126612092,12445.023885234676,0.19530558015943314,0.1771479185119575
15,16,99506.59521027398,1683.8169752351998,0.19641275465013286,0.18777679362267494
16,17,42933.96638830327,96468.53258685458,0.19729849424269263,0.18423383525243578
17,18,23656.581816338774,26612.343147285435,0.19951284322409213,0.18689105403011513
18,19,11126.120254287685,17746.759225418125,0.19973427812223207,0.1771479185119575
19,20,29702.809672787298,22975.15779271202,0.19929140832595216,0.18954827280779452
20,21,413267.8070785803,56998.56076377593,0.19862710363153233,0.17980513728963685
21,22,96155.15140936541,6778.324725329084,0.20150575730735165,0.19929140832595216
22,23,33106.62960997485,2637.4198257606363,0.20814880425155005,0.2178919397697077
23,24,15687.381361625805,40390.435709391575,0.2121346324180691,0.18600531443755536
24,25,32278.475708675764,3678.0463202797914,0.2108060230292294,0.2046058458813109
25,26,3588.775314064127,3045.698714943456,0.22209920283436668,0.20106288751107174
