,epoch,train_loss,val_loss,train_accuracy,val_accuracy
0,1,1.0891534387801367,1.038264116848117,0.5967670504871567,0.6102745792736936
1,2,0.9770495180961196,0.9317126619382914,0.6364038972542073,0.6589902568644819
2,3,0.8882025263814192,0.9161529269653469,0.6702834366696191,0.6616474756421612
3,4,0.811482774567245,0.8384056797166964,0.6933126660761736,0.6899911426040743
4,5,0.8020455742220207,0.8453093334781691,0.7019486271036315,0.662533215234721
5,6,0.7478596186405584,0.836674088128802,0.7139061116031886,0.6829052258635961
6,7,0.7265926132801891,0.8239361803757606,0.7240921169176262,0.6926483613817538
7,8,0.6944821252561016,0.8259480415032542,0.7256421612046059,0.6891054030115146
8,9,0.6904482285040897,0.8370219860803353,0.7296279893711249,0.6829052258635961
9,10,0.6691347881161712,0.8339632340930435,0.7316209034543845,0.691762621789194
10,11,0.6382284618986719,0.8955572566382118,0.7418069087688219,0.6997342781222321
11,12,0.6385805505477189,0.8309272357169456,0.7371567759078831,0.6997342781222321
12,13,0.6053141366073365,0.8331064791991923,0.75,0.704162976085031
13,14,0.5956800599030629,0.9408094528716048,0.7504428697962799,0.6961913197519929
14,15,0.5913107067848118,4.029672104558446,0.7480070859167405,0.6988485385296723
15,16,0.5741119477683406,4.53367059625705,0.7557573073516386,0.7112488928255093
16,17,0.5484657469209683,3.584981894683162,0.7568644818423383,0.7032772364924712
